Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
Shemaroo Entertainment,https://scanx.trade/company/shemaroo-entertainment-ltd,106.11,-1.82%,105.5,"1,911",289.9,-2.23,11.32,171,88.8,-5.37%,-8.04%,-36.06%,-33.05%,40.73%,0.78,-,-,-16.09%,-,110.61,112.32,45.7,-,-
Naga Dhunseri Group,https://scanx.trade/company/naga-dhunseri-group-ltd,"2,889.40",-0.02%,"2,949.90",196,288.94,7.3,-3.94,"4,985.45","2,830.00",-16.11%,-23.89%,-39.05%,121.95%,339.79%,0.22,0.09%,-,1.10%,-,"3,433.81","3,906.01",25.81,-,-
Supreme Holdings & Hospitality,https://scanx.trade/company/supreme-holdings-hospitality-ltd,74.76,-3.88%,77.7,"76,867",288.92,102.3,-2.85,116.5,69.11,-8.37%,-14.95%,-15.47%,-15.47%,-15.47%,2.06,-,-,2.43%,-,83.16,86.78,31,50.00%,-
Akme Fintrade,https://scanx.trade/company/akme-fintrade-india-ltd,6.76,0.15%,6.85,"4,75,659",288.48,7.94,-3.94,10.16,6.42,-5.98%,-19.24%,-28.24%,-94.93%,-94.93%,0.72,-,7.72%,12.07%,5.65,7.43,7.51,38.23,50.00%,-
Global Vectra Helicorp,https://scanx.trade/company/global-vectra-helicorp-ltd,205.29,-1.36%,208.11,"28,214",287.41,-49.14,5.5,311.4,181.31,3.96%,-2.35%,-26.71%,286.97%,254.56%,64.87,-,-,10.72%,-,209.75,223.62,54.82,50.00%,-
GSM Foils,https://scanx.trade/company/gsm-foils-ltd,203,-2.40%,203,"16,000",286.08,-,48.83,255.15,110.7,-0.61%,-7.98%,67.77%,504.17%,504.17%,-,-,-,47.81%,-,209.52,181.56,46.9,-,-
Parth Electricals & Engineering,https://scanx.trade/company/parth-electricalsengineering-ltd,209.25,-1.76%,219,"9,600",286,-,2.59,306.4,169,-12.87%,-6.83%,14.53%,14.53%,14.53%,-,-,-,42.57%,-,239.48,-,42.7,-,-
Nureca,https://scanx.trade/company/nureca-ltd,284.85,0.04%,284,"28,335",284.85,69.38,41.17,447.5,203.62,13.76%,22.18%,2.65%,-45.45%,-55.89%,1.44,-,-,1.29%,-,281.89,256.45,49.89,-,-
Khadim,https://scanx.trade/company/khadim-india-ltd,154.98,-1.26%,158.9,"81,107",284.83,62.63,29.66,396.85,154,-23.74%,-43.50%,-48.20%,-36.26%,59.72%,1.74,-,-,11.12%,-,211.59,242.79,22.16,50.00%,-
Surana Telecom & Power,https://scanx.trade/company/surana-telecom-and-power-ltd,20.95,-0.71%,21.52,"1,01,277",284.42,12.92,9.9,29.27,16.3,5.65%,-5.25%,-11.38%,103.40%,327.55%,1.79,-,-,16.64%,-,20.58,20.05,58.28,50.00%,-
VIP Clothing,https://scanx.trade/company/vip-clothing-ltd,31.38,-2.43%,32.16,"1,65,666",282.83,32.88,25.18,51.85,28,-5.05%,-19.44%,-36.68%,-32.52%,149.05%,1.54,-,-,7.56%,-,33.52,36.31,35.99,50.00%,-
Atal Realtech,https://scanx.trade/company/atal-ltd,25.4,-0.55%,25.54,"16,51,701",281.98,98.42,-2.85,25.88,11.15,10.29%,20.44%,119.34%,75.90%,924.19%,4.39,-,-,10.07%,-,24.3,19.34,62.85,-,-
Goyal Salt,https://scanx.trade/company/goyal-salt-ltd,157.05,-2.45%,160,"6,000",281.12,21.76,18.01,216,142,-4.85%,-8.69%,-19.89%,15.39%,15.39%,5.19,-,21.86%,25.37%,5.28,174.61,168.98,37.62,-,-
